Material,Material Description,Plant,Posting Date,Movement Type,Qty in unit of entry,Unit of Entry,Base Unit of Measure
MAT-0003,Widget 0003,PL01,08.02.2026,101,471.38,EA,EA
MAT-0003,Widget 0003,PL01,19.02.2026,101,301.31,EA,EA
MAT-0003,Widget 0003,PL01,03.03.2026,101,296.0,EA,EA
MAT-0003,Widget 0003,PL01,17.03.2026,101,137.78,EA,EA
MAT-0003,Widget 0003,PL01,22.03.2026,101,126.96,EA,EA
MAT-0003,Widget 0003,PL01,13.03.2026,101,326.3,EA,EA
MAT-0003,Widget 0003,PL01,15.03.2026,101,378.41,EA,EA
MAT-0003,Widget 0003,PL01,03.03.2026,101,314.37,EA,EA
MAT-0003,Widget 0003,PL01,04.04.2026,101,114.45,EA,EA
MAT-0003,Widget 0003,PL01,09.04.2026,101,181.01,EA,EA
MAT-0003,Widget 0003,PL01,03.04.2026,102,-191.07,EA,EA
MAT-0003,Widget 0003,PL01,06.04.2026,101,276.18,EA,EA
MAT-0003,Widget 0003,PL01,10.04.2026,101,493.74,EA,EA
MAT-0003,Widget 0003,PL01,21.04.2026,101,337.25,EA,EA
MAT-0003,Widget 0003,PL01,10.05.2026,102,-60.76,EA,EA
MAT-0003,Widget 0003,PL01,05.05.2026,101,445.96,EA,EA
MAT-0003,Widget 0003,PL01,24.05.2026,101,143.45,EA,EA
MAT-0003,Widget 0003,PL01,20.05.2026,101,178.01,EA,EA
MAT-0003,Widget 0003,PL01,22.05.2026,101,139.35,EA,EA
MAT-0003,Widget 0003,PL01,16.05.2026,101,455.0,EA,EA
MAT-0003,Widget 0003,PL01,03.06.2026,101,416.38,EA,EA
MAT-0003,Widget 0003,PL01,02.06.2026,101,387.85,EA,EA
MAT-0004,Widget 0004,PL01,06.01.2026,101,280.32,EA,EA
MAT-0004,Widget 0004,PL01,14.01.2026,101,64.82,EA,EA
MAT-0004,Widget 0004,PL01,23.01.2026,102,-277.34,EA,EA
MAT-0004,Widget 0004,PL01,27.01.2026,101,280.74,EA,EA
MAT-0004,Widget 0004,PL01,05.02.2026,101,188.68,EA,EA
MAT-0004,Widget 0004,PL01,26.02.2026,501,29.55,EA,EA
MAT-0004,Widget 0004,PL01,12.02.2026,101,132.27,EA,EA
MAT-0004,Widget 0004,PL01,04.02.2026,101,284.34,EA,EA
MAT-0004,Widget 0004,PL01,28.02.2026,101,314.12,EA,EA
MAT-0004,Widget 0004,PL01,08.03.2026,102,-488.34,EA,EA
MAT-0004,Widget 0004,PL01,26.03.2026,101,212.02,EA,EA
MAT-0004,Widget 0004,PL01,06.03.2026,101,172.77,EA,EA
MAT-0004,Widget 0004,PL01,26.04.2026,101,370.18,EA,EA
MAT-0004,Widget 0004,PL01,08.04.2026,101,395.81,EA,EA
MAT-0004,Widget 0004,PL01,04.04.2026,101,28.98,EA,EA
MAT-0004,Widget 0004,PL01,16.04.2026,101,410.13,EA,EA
MAT-0004,Widget 0004,PL01,15.04.2026,101,412.06,EA,EA
MAT-0004,Widget 0004,PL01,08.05.2026,101,104.63,EA,EA
MAT-0004,Widget 0004,PL01,11.05.2026,101,44.02,EA,EA
MAT-0004,Widget 0004,PL01,25.05.2026,101,324.33,EA,EA
MAT-0004,Widget 0004,PL01,22.06.2026,501,272.75,EA,EA
MAT-0004,Widget 0004,PL01,01.06.2026,101,485.5,EA,EA
MAT-0004,Widget 0004,PL01,06.06.2026,101,491.94,EA,EA
MAT-0004,Widget 0004,PL01,02.06.2026,101,222.94,EA,EA
MAT-0004,Widget 0004,PL01,24.06.2026,101,223.83,EA,EA
MAT-0005,Widget 0005,PL01,04.01.2026,101,292.53,KG,KG
MAT-0005,Widget 0005,PL01,23.01.2026,101,264.76,EA,KG
MAT-0005,Widget 0005,PL01,22.01.2026,101,373.56,EA,KG
MAT-0005,Widget 0005,PL01,12.01.2026,101,474.95,EA,KG
MAT-0005,Widget 0005,PL01,20.01.2026,101,425.53,EA,KG
MAT-0005,Widget 0005,PL01,10.01.2026,101,336.78,EA,KG
MAT-0005,Widget 0005,PL01,18.02.2026,101,216.02,EA,KG
MAT-0005,Widget 0005,PL01,22.02.2026,101,95.27,EA,KG
MAT-0005,Widget 0005,PL01,13.02.2026,101,10.2,KG,KG
MAT-0005,Widget 0005,PL01,14.02.2026,101,307.26,EA,KG
MAT-0005,Widget 0005,PL01,15.03.2026,101,260.48,EA,KG
MAT-0005,Widget 0005,PL01,26.03.2026,101,332.84,KG,KG
MAT-0005,Widget 0005,PL01,22.03.2026,101,174.24,EA,KG
MAT-0005,Widget 0005,PL01,25.03.2026,101,162.11,EA,KG
MAT-0005,Widget 0005,PL01,05.03.2026,101,129.97,EA,KG
MAT-0005,Widget 0005,PL01,15.04.2026,101,318.59,KG,KG
MAT-0005,Widget 0005,PL01,23.04.2026,101,205.83,KG,KG
MAT-0005,Widget 0005,PL01,25.05.2026,102,-443.88,EA,KG
MAT-0005,Widget 0005,PL01,08.05.2026,101,479.4,EA,KG
MAT-0005,Widget 0005,PL01,18.06.2026,101,425.68,EA,KG
MAT-0005,Widget 0005,PL01,26.06.2026,101,270.25,EA,KG
MAT-0006,Widget 0006,PL01,25.01.2026,102,-310200.0,G,KG
MAT-0006,Widget 0006,PL01,17.01.2026,101,454360.0,G,KG
MAT-0006,Widget 0006,PL01,06.01.2026,101,242.59,KG,KG
MAT-0006,Widget 0006,PL01,08.01.2026,101,145880.0,G,KG
MAT-0006,Widget 0006,PL01,21.02.2026,101,225540.0,G,KG
MAT-0006,Widget 0006,PL01,08.02.2026,101,166660.0,G,KG
MAT-0006,Widget 0006,PL01,05.02.2026,101,197.69,KG,KG
MAT-0006,Widget 0006,PL01,07.02.2026,101,209720.0,G,KG
MAT-0006,Widget 0006,PL01,14.02.2026,101,418120.0,G,KG
MAT-0006,Widget 0006,PL01,23.03.2026,101,441520.0,G,KG
MAT-0006,Widget 0006,PL01,16.03.2026,101,182360.0,G,KG
MAT-0006,Widget 0006,PL01,28.03.2026,102,-419510.0,G,KG
MAT-0006,Widget 0006,PL01,24.03.2026,101,305.59,KG,KG
MAT-0006,Widget 0006,PL01,08.03.2026,101,247960.0,G,KG
MAT-0006,Widget 0006,PL01,22.03.2026,101,208.12,KG,KG
MAT-0006,Widget 0006,PL01,05.04.2026,501,271720.0,G,KG
MAT-0006,Widget 0006,PL01,19.04.2026,101,23280.0,G,KG
MAT-0006,Widget 0006,PL01,05.04.2026,102,-99.05,KG,KG
MAT-0006,Widget 0006,PL01,11.04.2026,101,170150.0,G,KG
MAT-0006,Widget 0006,PL01,13.04.2026,101,476090.0,G,KG
MAT-0006,Widget 0006,PL01,16.05.2026,101,274320.0,G,KG
MAT-0006,Widget 0006,PL01,12.05.2026,101,43620.0,G,KG
MAT-0006,Widget 0006,PL01,25.06.2026,101,131170.0,G,KG
MAT-0006,Widget 0006,PL01,20.06.2026,101,71850.0,G,KG
MAT-0007,Widget 0007,PL01,07.01.2026,101,135.56,EA,EA
MAT-0007,Widget 0007,PL01,12.01.2026,101,307.55,EA,EA
MAT-0007,Widget 0007,PL01,24.01.2026,101,391.12,EA,EA
MAT-0007,Widget 0007,PL01,06.01.2026,501,62.97,EA,EA
MAT-0007,Widget 0007,PL01,01.01.2026,102,-292.14,EA,EA
MAT-0007,Widget 0007,PL01,13.01.2026,101,360.36,EA,EA
MAT-0007,Widget 0007,PL01,19.02.2026,101,317.35,EA,EA
MAT-0007,Widget 0007,PL01,04.02.2026,101,157.78,EA,EA
MAT-0007,Widget 0007,PL01,26.03.2026,101,492.08,EA,EA
MAT-0007,Widget 0007,PL01,26.03.2026,101,271.05,EA,EA
MAT-0007,Widget 0007,PL01,22.03.2026,101,257.92,EA,EA
MAT-0007,Widget 0007,PL01,11.03.2026,101,215.83,EA,EA
MAT-0007,Widget 0007,PL01,16.03.2026,101,480.79,EA,EA
MAT-0007,Widget 0007,PL01,21.03.2026,102,-235.27,EA,EA
MAT-0007,Widget 0007,PL01,14.04.2026,101,265.66,EA,EA
MAT-0007,Widget 0007,PL01,21.04.2026,101,406.02,EA,EA
MAT-0007,Widget 0007,PL01,18.04.2026,101,237.79,EA,EA
MAT-0007,Widget 0007,PL01,09.05.2026,101,130.29,EA,EA
MAT-0007,Widget 0007,PL01,03.05.2026,101,230.89,EA,EA
MAT-0007,Widget 0007,PL01,25.05.2026,101,309.06,EA,EA
MAT-0007,Widget 0007,PL01,13.05.2026,101,252.21,EA,EA
MAT-0007,Widget 0007,PL01,11.05.2026,101,113.94,EA,EA
MAT-0007,Widget 0007,PL01,26.05.2026,101,147.03,EA,EA
MAT-0007,Widget 0007,PL01,23.06.2026,102,-282.34,EA,EA
MAT-0007,Widget 0007,PL01,17.06.2026,102,-51.95,EA,EA
MAT-0007,Widget 0007,PL01,24.06.2026,101,282.04,EA,EA
MAT-0007,Widget 0007,PL01,08.06.2026,101,326.49,EA,EA
MAT-0007,Widget 0007,PL01,16.06.2026,101,18.45,EA,EA
MAT-0007,Widget 0007,PL01,10.06.2026,101,348.98,EA,EA
MAT-0007,Widget 0007,PL02,22.01.2026,101,241.9,EA,EA
MAT-0007,Widget 0007,PL02,17.01.2026,101,498.35,EA,EA
MAT-0007,Widget 0007,PL02,18.01.2026,101,354.4,EA,EA
MAT-0007,Widget 0007,PL02,09.01.2026,101,122.96,EA,EA
MAT-0007,Widget 0007,PL02,11.02.2026,101,272.57,EA,EA
MAT-0007,Widget 0007,PL02,25.02.2026,101,103.86,EA,EA
MAT-0007,Widget 0007,PL02,24.02.2026,101,365.05,EA,EA
MAT-0007,Widget 0007,PL02,20.03.2026,101,59.26,EA,EA
MAT-0007,Widget 0007,PL02,07.03.2026,101,186.83,EA,EA
MAT-0007,Widget 0007,PL02,10.03.2026,101,271.73,EA,EA
MAT-0007,Widget 0007,PL02,09.03.2026,101,36.72,EA,EA
MAT-0007,Widget 0007,PL02,10.03.2026,101,71.88,EA,EA
MAT-0007,Widget 0007,PL02,28.03.2026,101,60.27,EA,EA
MAT-0007,Widget 0007,PL02,19.04.2026,101,244.57,EA,EA
MAT-0007,Widget 0007,PL02,11.04.2026,101,35.17,EA,EA
MAT-0007,Widget 0007,PL02,04.05.2026,101,206.35,EA,EA
MAT-0007,Widget 0007,PL02,03.05.2026,101,346.36,EA,EA
MAT-0007,Widget 0007,PL02,05.05.2026,101,285.79,EA,EA
MAT-0007,Widget 0007,PL02,10.05.2026,101,131.61,EA,EA
MAT-0007,Widget 0007,PL02,18.05.2026,101,307.1,EA,EA
MAT-0007,Widget 0007,PL02,08.06.2026,101,196.39,EA,EA
MAT-0007,Widget 0007,PL02,15.06.2026,101,298.38,EA,EA
MAT-0007,Widget 0007,PL02,14.06.2026,101,314.3,EA,EA
MAT-0007,Widget 0007,PL02,20.06.2026,501,58.62,EA,EA
MAT-0007,Widget 0007,PL02,25.06.2026,101,113.4,EA,EA
MAT-0007,Widget 0007,PL02,22.06.2026,101,127.53,EA,EA
MAT-0008,Widget 0008,PL01,03.01.2026,101,210.17,EA,EA
MAT-0008,Widget 0008,PL01,23.01.2026,101,152.72,EA,EA
MAT-0008,Widget 0008,PL01,08.01.2026,101,148.53,EA,EA
MAT-0008,Widget 0008,PL01,28.01.2026,101,346.82,EA,EA
MAT-0008,Widget 0008,PL01,09.01.2026,101,316.28,EA,EA
MAT-0008,Widget 0008,PL01,22.01.2026,101,106.93,EA,EA
MAT-0008,Widget 0008,PL01,18.02.2026,101,83.0,EA,EA
MAT-0008,Widget 0008,PL01,09.02.2026,101,44.99,EA,EA
MAT-0008,Widget 0008,PL01,26.03.2026,101,376.99,EA,EA
MAT-0008,Widget 0008,PL01,19.03.2026,102,-225.19,EA,EA
MAT-0008,Widget 0008,PL01,15.03.2026,101,352.87,EA,EA
MAT-0008,Widget 0008,PL01,17.04.2026,101,224.5,EA,EA
MAT-0008,Widget 0008,PL01,20.04.2026,101,221.69,EA,EA
MAT-0008,Widget 0008,PL01,11.04.2026,101,22.67,EA,EA
MAT-0008,Widget 0008,PL01,08.04.2026,501,419.62,EA,EA
MAT-0008,Widget 0008,PL01,19.05.2026,501,499.79,EA,EA
MAT-0008,Widget 0008,PL01,22.05.2026,101,292.36,EA,EA
MAT-0008,Widget 0008,PL01,25.05.2026,101,240.55,EA,EA
MAT-0008,Widget 0008,PL01,21.05.2026,101,146.3,EA,EA
MAT-0008,Widget 0008,PL01,19.05.2026,101,408.98,EA,EA
MAT-0008,Widget 0008,PL01,03.05.2026,101,210.09,EA,EA
MAT-0008,Widget 0008,PL01,22.06.2026,101,88.8,EA,EA
MAT-0008,Widget 0008,PL01,14.06.2026,101,151.23,EA,EA
MAT-0008,Widget 0008,PL01,13.06.2026,101,279.55,EA,EA
MAT-0008,Widget 0008,PL01,15.06.2026,101,133.68,EA,EA
MAT-0009,Widget 0009,PL01,25.01.2026,101,262.15,EA,EA
MAT-0009,Widget 0009,PL01,01.01.2026,101,275.87,EA,EA
MAT-0009,Widget 0009,PL01,02.02.2026,101,187.27,EA,EA
MAT-0009,Widget 0009,PL01,25.02.2026,101,226.6,EA,EA
MAT-0009,Widget 0009,PL01,02.02.2026,101,279.12,EA,EA
MAT-0009,Widget 0009,PL01,10.02.2026,101,352.14,EA,EA
MAT-0009,Widget 0009,PL01,04.02.2026,101,318.71,EA,EA
MAT-0009,Widget 0009,PL01,23.03.2026,101,279.91,EA,EA
MAT-0009,Widget 0009,PL01,18.03.2026,101,120.1,EA,EA
MAT-0009,Widget 0009,PL01,27.03.2026,102,-236.11,EA,EA
MAT-0009,Widget 0009,PL01,21.04.2026,101,254.2,EA,EA
MAT-0009,Widget 0009,PL01,23.04.2026,101,355.65,EA,EA
MAT-0009,Widget 0009,PL01,27.05.2026,101,241.39,EA,EA
MAT-0009,Widget 0009,PL01,15.05.2026,101,197.96,EA,EA
MAT-0009,Widget 0009,PL01,20.05.2026,101,440.87,EA,EA
MAT-0009,Widget 0009,PL01,28.05.2026,101,388.61,EA,EA
MAT-0009,Widget 0009,PL01,28.05.2026,101,467.78,EA,EA
MAT-0009,Widget 0009,PL01,09.06.2026,101,148.59,EA,EA
MAT-0009,Widget 0009,PL01,10.06.2026,101,294.16,EA,EA
MAT-0009,Widget 0009,PL01,22.06.2026,101,82.81,EA,EA
MAT-0009,Widget 0009,PL01,18.06.2026,101,172.9,EA,EA
MAT-0009,Widget 0009,PL01,25.06.2026,101,233.12,EA,EA
MAT-0009,Widget 0009,PL01,11.06.2026,102,-490.58,EA,EA
MAT-0010,Widget 0010,PL01,19.01.2026,101,429.45,EA,EA
MAT-0010,Widget 0010,PL01,14.01.2026,101,374.91,EA,EA
MAT-0010,Widget 0010,PL01,23.01.2026,102,-196.8,EA,EA
MAT-0010,Widget 0010,PL01,16.02.2026,501,71.86,EA,EA
MAT-0010,Widget 0010,PL01,19.02.2026,101,59.18,EA,EA
MAT-0010,Widget 0010,PL01,28.02.2026,101,267.72,EA,EA
MAT-0010,Widget 0010,PL01,01.03.2026,101,210.89,EA,EA
MAT-0010,Widget 0010,PL01,21.03.2026,501,46.67,EA,EA
MAT-0010,Widget 0010,PL01,26.03.2026,501,175.9,EA,EA
MAT-0010,Widget 0010,PL01,23.03.2026,101,49.35,EA,EA
MAT-0010,Widget 0010,PL01,11.03.2026,102,-431.08,EA,EA
MAT-0010,Widget 0010,PL01,11.04.2026,101,444.84,EA,EA
MAT-0010,Widget 0010,PL01,16.04.2026,102,-27.59,EA,EA
MAT-0010,Widget 0010,PL01,03.04.2026,101,345.36,EA,EA
MAT-0010,Widget 0010,PL01,10.04.2026,501,375.92,EA,EA
MAT-0010,Widget 0010,PL01,14.04.2026,501,382.58,EA,EA
MAT-0010,Widget 0010,PL01,15.05.2026,101,156.74,EA,EA
MAT-0010,Widget 0010,PL01,01.05.2026,101,400.11,EA,EA
MAT-0010,Widget 0010,PL01,12.06.2026,101,81.33,EA,EA
MAT-0010,Widget 0010,PL01,17.06.2026,101,344.08,EA,EA
MAT-0010,Widget 0010,PL01,06.06.2026,101,48.69,EA,EA
MAT-0010,Widget 0010,PL01,28.06.2026,101,344.74,EA,EA
MAT-0011,Widget 0011,PL01,19.01.2026,101,235.96,EA,EA
MAT-0011,Widget 0011,PL01,09.01.2026,101,336.75,EA,EA
MAT-0011,Widget 0011,PL01,26.01.2026,101,150.94,EA,EA
MAT-0011,Widget 0011,PL01,18.01.2026,101,226.45,EA,EA
MAT-0011,Widget 0011,PL01,12.01.2026,501,156.59,EA,EA
MAT-0011,Widget 0011,PL01,23.02.2026,101,424.2,EA,EA
MAT-0011,Widget 0011,PL01,07.02.2026,501,428.13,EA,EA
MAT-0011,Widget 0011,PL01,04.02.2026,101,290.24,EA,EA
MAT-0011,Widget 0011,PL01,19.02.2026,101,352.65,EA,EA
MAT-0011,Widget 0011,PL01,01.02.2026,501,332.53,EA,EA
MAT-0011,Widget 0011,PL01,01.03.2026,101,346.04,EA,EA
MAT-0011,Widget 0011,PL01,24.03.2026,501,456.2,EA,EA
MAT-0011,Widget 0011,PL01,24.03.2026,101,453.04,EA,EA
MAT-0011,Widget 0011,PL01,10.03.2026,101,122.76,EA,EA
MAT-0011,Widget 0011,PL01,08.04.2026,101,314.24,EA,EA
MAT-0011,Widget 0011,PL01,22.04.2026,101,386.06,EA,EA
MAT-0011,Widget 0011,PL01,22.04.2026,101,317.84,EA,EA
MAT-0011,Widget 0011,PL01,21.04.2026,101,161.38,EA,EA
MAT-0011,Widget 0011,PL01,02.05.2026,101,368.86,EA,EA
MAT-0011,Widget 0011,PL01,03.05.2026,102,-170.09,EA,EA
MAT-0011,Widget 0011,PL01,14.05.2026,101,74.76,EA,EA
MAT-0011,Widget 0011,PL01,18.05.2026,102,-189.27,EA,EA
MAT-0011,Widget 0011,PL01,17.05.2026,102,-416.93,EA,EA
MAT-0011,Widget 0011,PL01,27.06.2026,102,-484.02,EA,EA
MAT-0011,Widget 0011,PL01,10.06.2026,101,175.97,EA,EA
MAT-0011,Widget 0011,PL01,04.06.2026,101,46.9,EA,EA
MAT-0011,Widget 0011,PL01,25.06.2026,501,431.47,EA,EA
MAT-0012,Widget 0012,PL01,28.01.2026,101,189.23,EA,EA
MAT-0012,Widget 0012,PL01,26.01.2026,101,139.58,EA,EA
MAT-0012,Widget 0012,PL01,04.01.2026,101,339.69,EA,EA
MAT-0012,Widget 0012,PL01,22.01.2026,101,196.7,EA,EA
MAT-0012,Widget 0012,PL01,21.01.2026,102,-63.09,EA,EA
MAT-0012,Widget 0012,PL01,16.02.2026,101,443.28,EA,EA
MAT-0012,Widget 0012,PL01,18.02.2026,101,308.94,EA,EA
MAT-0012,Widget 0012,PL01,21.02.2026,101,413.69,EA,EA
MAT-0012,Widget 0012,PL01,21.03.2026,101,78.49,EA,EA
MAT-0012,Widget 0012,PL01,02.03.2026,101,251.39,EA,EA
MAT-0012,Widget 0012,PL01,04.03.2026,101,273.4,EA,EA
MAT-0012,Widget 0012,PL01,13.03.2026,101,338.54,EA,EA
MAT-0012,Widget 0012,PL01,14.04.2026,101,366.03,EA,EA
MAT-0012,Widget 0012,PL01,14.04.2026,101,418.51,EA,EA
MAT-0012,Widget 0012,PL01,20.04.2026,101,476.25,EA,EA
MAT-0012,Widget 0012,PL01,02.04.2026,101,116.46,EA,EA
MAT-0012,Widget 0012,PL01,15.04.2026,501,429.17,EA,EA
MAT-0012,Widget 0012,PL01,04.04.2026,501,189.99,EA,EA
MAT-0012,Widget 0012,PL01,02.05.2026,101,103.01,EA,EA
MAT-0012,Widget 0012,PL01,04.05.2026,102,-413.85,EA,EA
MAT-0012,Widget 0012,PL01,03.05.2026,101,324.44,EA,EA
MAT-0012,Widget 0012,PL01,20.05.2026,501,34.78,EA,EA
MAT-0012,Widget 0012,PL01,08.06.2026,501,395.62,EA,EA
MAT-0012,Widget 0012,PL01,07.06.2026,101,384.93,EA,EA
MAT-0012,Widget 0012,PL01,07.06.2026,101,408.4,EA,EA
MAT-0012,Widget 0012,PL01,08.06.2026,101,82.3,EA,EA
